doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
chuan-bi-bang-chung-tra-hang,data\ecommerce\chuan-bi-bang-chung-tra-hang.md,Hướng dẫn chuẩn bị bằng chứng khi yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/79467-%5BTr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n%5D-H%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-chu%E1%BA%A9n-b%E1%BB%8B-b%E1%BA%B1ng-ch%E1%BB%A9ng-khi-y%C3%AAu-c%E1%BA%A7u-Tr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n,2026-09-20,not-stated,public-source
doi-y-khong-con-nhu-cau,data\ecommerce\doi-y-khong-con-nhu-cau.md,Những điều cần biết về Trả hàng do Đổi ý/không còn nhu cầu,https://help.shopee.vn/portal/4/article/204305-Nh%E1%BB%AFng-%C4%91i%E1%BB%81u-c%E1%BA%A7n-bi%E1%BA%BFt-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng-do-%22%C4%90%E1%BB%95i-%C3%BD%2Fkh%C3%B4ng-c%C3%B2n-nhu-c%E1%BA%A7u%22,2026-09-20,not-stated,public-source
dong-goi-don-hang-hoan-tra,data\ecommerce\dong-goi-don-hang-hoan-tra.md,Cách đóng gói đơn hàng hoàn trả,https://help.shopee.vn/portal/4/article/79508-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-C%C3%A1ch-%C4%91%C3%B3ng-g%C3%B3i-%C4%91%C6%A1n-h%C3%A0ng-ho%C3%A0n-tr%E1%BA%A3,2026-09-20,not-stated,public-source
gui-yeu-cau-tra-hang-hoan-tien,data\ecommerce\gui-yeu-cau-tra-hang-hoan-tien.md,Hướng dẫn gửi yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/79233-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-H%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-g%C6%B0%CC%89i-y%C3%AAu-c%E1%BA%A7u-Tr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n,2026-09-20,not-stated,public-source
kiem-tra-hoan-tien-spaylater,data\ecommerce\kiem-tra-hoan-tien-spaylater.md,Làm sao để kiểm tra tiền đã hoàn vào SPayLater hay chưa,https://help.shopee.vn/portal/4/article/164831-%5BTr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n%5D-L%C3%A0m-sao-%C4%91%E1%BB%83-ki%E1%BB%83m-tra-ti%E1%BB%81n-%C4%91%C3%A3-ho%C3%A0n-v%C3%A0o-SPayLater-hay-ch%C6%B0a,2026-09-20,not-stated,public-source
phuong-thuc-phi-gui-hang-hoan-tra,data\ecommerce\phuong-thuc-phi-gui-hang-hoan-tra.md,Các phương thức gửi hàng hoàn trả và phí hoàn trả,https://help.shopee.vn/portal/4/article/189477-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-C%C3%A1c-ph%C6%B0%C6%A1ng-th%E1%BB%A9c-g%E1%BB%ADi-h%C3%A0ng-ho%C3%A0n-tr%E1%BA%A3-v%C3%A0-ph%C3%AD-ho%C3%A0n-tr%E1%BA%A3,2026-09-20,not-stated,public-source
quy-dinh-chung-tra-hang-hoan-tien-buyer,data\ecommerce\quy-dinh-chung-tra-hang-hoan-tien-buyer.md,Quy định Trả hàng/Hoàn tiền dành cho Người mua,https://help.shopee.vn/portal/4/article/188931-%5BTr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n%5D-Nh%E1%BB%AFng-quy-%C4%91%E1%BB%8Bnh-chung-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n-c%E1%BB%A7a-Shopee,2026-09-20,not-stated,public-source
quy-dinh-chung-tra-hang-hoan-tien-seller,data\ecommerce\quy-dinh-chung-tra-hang-hoan-tien-seller.md,Quy định Trả hàng/Hoàn tiền dành cho Người bán,https://help.shopee.vn/portal/4/article/188931-%5BTr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n%5D-Nh%E1%BB%AFng-quy-%C4%91%E1%BB%8Bnh-chung-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n-c%E1%BB%A7a-Shopee,2026-09-20,not-stated,public-source
san-pham-han-che-tra-hang,data\ecommerce\san-pham-han-che-tra-hang.md,Sản phẩm hạn chế trả hàng là gì,https://help.shopee.vn/portal/4/article/79465-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-S%E1%BA%A3n-ph%E1%BA%A9m-h%E1%BA%A1n-ch%E1%BA%BF-tr%E1%BA%A3-h%C3%A0ng-l%C3%A0-g%C3%AC,2026-09-20,not-stated,public-source
theo-doi-van-chuyen-hang-hoan-tra,data\ecommerce\theo-doi-van-chuyen-hang-hoan-tra.md,Cách theo dõi tình trạng vận chuyển hàng hoàn trả,https://help.shopee.vn/portal/4/article/189476-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-C%C3%A1ch-theo-d%C3%B5i-t%C3%ACnh-tr%E1%BA%A1ng-v%E1%BA%ADn-chuy%E1%BB%83n-h%C3%A0ng-ho%C3%A0n-tr%E1%BA%A3,2026-09-20,not-stated,public-source
